policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
leastloaded,50,501,499,0.000000,0.0000,125,125,100,100,0,0.445732,0.000000,5300
leastloaded,50,507,493,0.000000,0.0000,125,125,104,104,46,0.434204,0.254150,5452
leastloaded,54,542,458,0.000000,0.0000,125,125,112,112,88,0.432018,0.283933,5848
leastloaded,55,554,446,0.000000,0.0000,125,125,115,115,135,0.431479,0.292186,5992
leastloaded,59,593,407,0.000000,0.0000,125,125,121,121,179,0.442052,0.284429,6340
leastloaded,60,606,394,0.000000,0.0000,125,125,127,127,223,0.431854,0.311309,6584
leastloaded,61,612,388,0.000000,0.0000,125,125,131,131,269,0.423554,0.315631,6736
leastloaded,62,627,373,0.000000,0.0000,125,125,136,136,314,0.418507,0.317737,6956
leastloaded,65,652,348,0.000000,0.0000,125,125,142,142,358,0.416571,0.318306,7248
leastloaded,68,685,315,0.000000,0.0000,125,125,147,147,403,0.423498,0.322075,7540
leastloaded,68,687,313,0.000000,0.0000,125,125,148,148,452,0.421799,0.311905,7580
